广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
"20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_dhr_WZC_08A - Copy",USD,6.86,6.86,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_09A,USD,5.75,2.875,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_11A,USD,18.82,1.71090909,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_095KB_DHR_22A,USD,12.24,1.36,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_095KB_DHR_20A,USD,12.41,4.13666667,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_095KB_DHR_19A,USD,23.56,3.92666667,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_095KB_DHR_15A,USD,14.52,1.815,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_095KB_DHR_21A,USD,18.01,1.28642857,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_095KB_DHR_16A,USD,0.4,0,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_06A,USD,0.1,0.1,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,0.1,0,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_07A,USD,15.09,7.545,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_10A,USD,10.2,2.55,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_09A,USD,7.97,3.985,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Plus_JB-111201_ZT-PlusKaity_LVL1-typeface_RS-P2X1R2C1_095KB-FL-HJ,USD,14.33,2.866,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Plus_JB-111201_ZT-PlusK_LVL1-typeface_RS-P2X1R2C1_095KB-FL-HJ,USD,27.16,4.52666667,,,0,2026-05-22,2026-05-22
